time	V(vtag)
4.941919435000408e+001	2.690626e+000
4.951685060000408e+001	2.730062e+000
4.961450685000408e+001	2.764050e+000
4.971216310000408e+001	2.793342e+000
4.980981935000408e+001	2.818588e+000
4.990747560000408e+001	2.840345e+000
5.000513185000408e+001	2.859097e+000
5.010278810000408e+001	2.875257e+000
5.020044435000408e+001	2.889186e+000
5.029810060000408e+001	2.901190e+000
5.039575685000408e+001	2.911535e+000
5.049341310000408e+001	2.920451e+000
5.059106935000408e+001	2.928136e+000
5.068872560000408e+001	2.934758e+000
5.078638185000408e+001	2.940466e+000
5.088403810000408e+001	2.945385e+000
5.098169435000408e+001	2.949625e+000
5.107935060000408e+001	2.953279e+000
5.117700685000408e+001	2.956428e+000
5.127466310000408e+001	2.959142e+000
5.137231935000408e+001	2.961481e+000
5.146997560000408e+001	2.963497e+000
5.156763185000408e+001	2.965234e+000
5.166528810000408e+001	2.966732e+000
5.176294435000408e+001	2.968022e+000
5.186060060000408e+001	2.969134e+000
5.195825685000408e+001	2.970093e+000
5.205591310000408e+001	2.970919e+000
5.215356935000408e+001	2.971631e+000
5.225122560000408e+001	2.972245e+000
5.234888185000408e+001	2.972773e+000
5.244653810000408e+001	2.973229e+000
5.254419435000408e+001	2.973622e+000
5.264185060000408e+001	2.973960e+000
5.273950685000408e+001	2.974252e+000
5.283716310000408e+001	2.974504e+000
5.293481935000408e+001	2.974720e+000
5.303247560000408e+001	2.974907e+000
5.313013185000408e+001	2.975068e+000
5.322778810000408e+001	2.975207e+000
5.332544435000408e+001	2.975327e+000
5.342310060000408e+001	2.975430e+000
5.352075685000408e+001	2.975518e+000
5.361841310000408e+001	2.975595e+000
5.371606935000408e+001	2.975661e+000
5.381372560000408e+001	2.975718e+000
5.391138185000408e+001	2.975767e+000
5.400903810000408e+001	2.975809e+000
5.420435060000408e+001	2.975877e+000
5.439966310000408e+001	2.975927e+000
5.459497560000408e+001	2.975965e+000
5.488794435000408e+001	2.976003e+000
5.518091310000408e+001	2.976028e+000
5.541807827857551e+001	2.976040e+000
5.565524345714694e+001	2.976049e+000
5.589240863571837e+001	2.976057e+000
5.612957381428980e+001	2.976063e+000
5.636673899286123e+001	2.976067e+000
5.660390417143265e+001	2.976069e+000
5.684106935000408e+001	2.976069e+000
5.700000000000000e+001	2.976070e+000
5.700008000000000e+001	2.975323e+000
5.700024000000000e+001	2.972619e+000
5.700048000000000e+001	2.965050e+000
5.700080000000000e+001	2.950597e+000
5.700194285714286e+001	2.881459e+000
5.700308571428571e+001	2.812434e+000
5.700422857142857e+001	2.743522e+000
5.700537142857143e+001	2.674723e+000
5.700651428571429e+001	2.606037e+000
5.700765714285714e+001	2.537464e+000
5.700880000000000e+001	2.469003e+000
5.700902080000000e+001	2.458943e+000
5.700931519999999e+001	2.450678e+000
5.700960000000000e+001	2.446601e+000
5.706811347857201e+001	2.490308e+000
5.712662695714403e+001	2.531067e+000
5.718514043571604e+001	2.568876e+000
5.724365391428805e+001	2.603737e+000
5.730216739286006e+001	2.635649e+000
5.736068087143207e+001	2.664612e+000
5.741919435000408e+001	2.690626e+000
5.751685060000408e+001	2.730062e+000
5.761450685000408e+001	2.764050e+000
5.771216310000408e+001	2.793342e+000
5.780981935000408e+001	2.818588e+000
5.790747560000408e+001	2.840345e+000
5.800513185000408e+001	2.859097e+000
5.810278810000408e+001	2.875257e+000
5.820044435000408e+001	2.889186e+000
5.829810060000408e+001	2.901190e+000
5.839575685000408e+001	2.911535e+000
5.849341310000408e+001	2.920451e+000
5.859106935000408e+001	2.928136e+000
5.868872560000408e+001	2.934758e+000
5.878638185000408e+001	2.940466e+000
5.888403810000408e+001	2.945385e+000
5.898169435000408e+001	2.949625e+000
5.907935060000408e+001	2.953279e+000
5.917700685000408e+001	2.956428e+000
5.927466310000408e+001	2.959142e+000
5.937231935000408e+001	2.961481e+000
5.946997560000408e+001	2.963497e+000
5.956763185000408e+001	2.965234e+000
5.966528810000408e+001	2.966732e+000
5.976294435000408e+001	2.968022e+000
5.986060060000408e+001	2.969134e+000
5.995825685000408e+001	2.970093e+000
6.005591310000408e+001	2.970919e+000
6.015356935000408e+001	2.971631e+000
6.025122560000408e+001	2.972245e+000
6.034888185000408e+001	2.972773e+000
6.044653810000408e+001	2.973229e+000
6.054419435000408e+001	2.973622e+000
6.064185060000408e+001	2.973960e+000
6.073950685000408e+001	2.974252e+000
6.083716310000408e+001	2.974504e+000
6.093481935000408e+001	2.974720e+000
6.103247560000408e+001	2.974907e+000
6.113013185000408e+001	2.975068e+000
6.122778810000408e+001	2.975207e+000
6.132544435000408e+001	2.975327e+000
6.142310060000408e+001	2.975430e+000
6.152075685000408e+001	2.975518e+000
6.161841310000408e+001	2.975595e+000
6.171606935000408e+001	2.975661e+000
6.181372560000408e+001	2.975718e+000
6.191138185000408e+001	2.975767e+000
6.200903810000408e+001	2.975809e+000
6.220435060000408e+001	2.975877e+000
6.239966310000408e+001	2.975927e+000
6.259497560000408e+001	2.975965e+000
6.288794435000408e+001	2.976003e+000
6.318091310000408e+001	2.976028e+000
6.341807827857551e+001	2.976040e+000
6.365524345714695e+001	2.976049e+000
6.389240863571838e+001	2.976057e+000
6.412957381428980e+001	2.976063e+000
6.436673899286123e+001	2.976067e+000
6.460390417143266e+001	2.976069e+000
6.484106935000409e+001	2.976069e+000
6.500000000000000e+001	2.976070e+000
6.500008000000000e+001	2.975323e+000
6.500023999999999e+001	2.972619e+000
6.500048000000000e+001	2.965050e+000
6.500080000000000e+001	2.950597e+000
6.500194285714285e+001	2.881459e+000
6.500308571428572e+001	2.812434e+000
6.500422857142857e+001	2.743522e+000
6.500537142857142e+001	2.674723e+000
6.500651428571428e+001	2.606037e+000
6.500765714285714e+001	2.537464e+000
6.500879999999999e+001	2.469003e+000
6.500902079999997e+001	2.458943e+000
6.500931519999996e+001	2.450678e+000
6.500960000000001e+001	2.446601e+000
6.506811347857368e+001	2.490308e+000
6.512662695714735e+001	2.531067e+000
6.518514043572102e+001	2.568876e+000
6.524365391429471e+001	2.603737e+000
6.530216739286838e+001	2.635649e+000
6.536068087144206e+001	2.664612e+000
6.541919435001573e+001	2.690626e+000
6.551685060001573e+001	2.730062e+000
6.561450685001573e+001	2.764050e+000
6.571216310001573e+001	2.793342e+000
6.580981935001573e+001	2.818588e+000
6.590747560001573e+001	2.840345e+000
6.600513185001573e+001	2.859097e+000
6.610278810001573e+001	2.875257e+000
6.620044435001573e+001	2.889186e+000
6.629810060001573e+001	2.901190e+000
6.639575685001573e+001	2.911535e+000
6.649341310001573e+001	2.920451e+000
6.659106935001573e+001	2.928136e+000
6.668872560001573e+001	2.934758e+000
6.678638185001573e+001	2.940466e+000
6.688403810001573e+001	2.945385e+000
6.698169435001573e+001	2.949625e+000
6.707935060001573e+001	2.953279e+000
6.717700685001573e+001	2.956428e+000
6.727466310001573e+001	2.959142e+000
6.737231935001573e+001	2.961481e+000
6.746997560001573e+001	2.963497e+000
6.756763185001573e+001	2.965234e+000
6.766528810001573e+001	2.966732e+000
6.776294435001573e+001	2.968022e+000
6.786060060001573e+001	2.969134e+000
6.795825685001573e+001	2.970093e+000
6.805591310001573e+001	2.970919e+000
6.815356935001573e+001	2.971631e+000
6.825122560001573e+001	2.972245e+000
6.834888185001573e+001	2.972773e+000
6.844653810001573e+001	2.973229e+000
6.854419435001573e+001	2.973622e+000
